,count,mean,min,25%,50%,75%,max,std,null_count,null_pct
timestamp,105397,2024-05-02 00:08:40.358264064,2023-11-01 00:00:00,2024-01-31 11:45:00,2024-05-02 00:30:00,2024-08-01 12:15:00,2024-11-01 00:00:00,,0,0.0
air_header_pressure_psi,105332.0,8.9825670637349,2.002500057,8.967000008,9.005249977,9.048749924,9.99450016,0.2527185876520241,65,0.062
air_header_temp_f,105363.0,170.47481089804168,108.9562531,155.7749939,173.7562561,184.21875,217.875,17.441628205968094,34,0.032
influent_ammonium_mg_l,105397.0,43.18416300939031,0.0,33.60805511,42.12008286,50.00412369,150.0,16.41219179721628,0,0.0
do_basin1_mg_l,105397.0,2.5635282937536794,0.0,2.441250086,2.807250023,3.042000055,11.99775028,1.087892601635371,0,0.0
do_basin2_mg_l,105397.0,2.713025689086487,0.0,2.481750011,2.948999882,3.131249905,10.41975021,0.9434210038983039,0,0.0
do_basin3_mg_l,105363.0,2.9027922369149954,0.284249991,2.55824995,3.032249928,3.194250107,12.0,0.6733123388017248,34,0.032
do_basin4_mg_l,105363.0,1.9211433051647113,0.00225,0.00525,2.077500105,2.54550004,11.62275028,1.5821512531339925,34,0.032
do_basin5_mg_l,105397.0,2.3273686252499743,0.0,1.452749968,2.487750053,3.071249962,11.99174976,1.0747767180146324,0,0.0
airflow_basin1_cells1_6_scfm,105397.0,1403.7704969885558,9.265647888,1182.410034,1478.008423,1782.403076,4356.391602,588.8727944184426,0,0.0
airflow_basin1_cells7_10_scfm,105363.0,170.306822317318,90.49150085,108.19581605,153.395462,188.85881045000002,829.0273438,76.83560198253439,34,0.032
airflow_basin2_cells1_6_scfm,105397.0,1908.8423555283332,0.411857605,1549.369751,1910.164551,2191.767578,4859.719727,565.722291622564,0,0.0
airflow_basin2_cells7_10_scfm,105363.0,185.15185644550158,78.32151794,151.6731873,158.8994446,182.56745915,1253.589233,89.94462090218038,34,0.032
airflow_basin3_cells1_6_scfm,105397.0,1526.1019768809563,0.238723755,1246.633545,1540.404785,1794.930542,4089.340088,392.5490953397448,0,0.0
airflow_basin3_cells7_10_scfm,105397.0,158.0600198225013,61.22389603,91.50504303,132.8596039,160.1199799,790.1877441,104.05470927577004,0,0.0
airflow_basin4_cells1_6_scfm,105397.0,1060.9375571261712,0.041816711,72.41733551,1311.404297,1595.259521,3403.110352,718.6410647686756,0,0.0
airflow_basin4_cells7_10_scfm,105363.0,121.3821023055491,64.63565826,72.42041015999999,90.09231567,144.814888,665.2280884,72.71428243294395,34,0.032
airflow_basin5_cells1_6_scfm,105397.0,1725.4376463208564,0.249481201,1395.170166,1691.922729,2019.391479,3754.311523,438.10541776990846,0,0.0
airflow_basin5_cells7_10_scfm,105397.0,191.28880351696776,75.83208466,142.5479889,152.1025696,217.6583862,880.918396,100.11690601541909,0,0.0
airflow_basin6_cells1_6_scfm,105187.0,286.36490684315436,35.30865479,61.48365021,64.46740723,162.62094115000002,3867.345703,585.4101885422862,210,0.199
airflow_basin6_cells7_10_scfm,105363.0,364.50877048180826,41.12755203,61.508037564999995,64.46138763,660.5935059,1516.172852,441.9150803375123,34,0.032
total_influent_flow_mgd,105397.0,17.857888538790387,0.019619999,12.23311424,17.19382477,22.04165077,66.54761505,7.787984581270712,0,0.0
total_ras_flow_gpm,105363.0,3290.7793190830826,0.0,2474.625,2927.068848,3691.771973,12063.18164,1320.3172525311231,34,0.032
total_mlr_flow_mgd,105397.0,38.23749335340995,10.14237022,32.81895065,39.24954224,41.73056793,54.58995056,6.3890567056265795,0,0.0
effluent_ammonium_mg_l,105345.0,0.536245506593287,0.0,0.0045,0.017999999,0.201749995,12.0,1.487869870520213,52,0.049
effluent_phosphate_mg_l,105363.0,0.629265178850585,0.0,0.086874999,0.295625001,0.644999981,10.0,1.2898630494989944,34,0.032
effluent_ss,105363.0,3589.006586821881,0.0,3320.625,3610.625,3823.75,4997.1875,382.82188716487144,34,0.032
effluent_temp_c,105363.0,20.88289935473018,0.0,16.87874985,21.30624962,24.70999908,26.6875,4.105021186518765,34,0.032
effluent_ph,105167.0,6.387848701892422,4.000500202,6.293000221,6.379624844,6.490749836,9.994250298,0.257529684377683,230,0.218
basin1_cell7_ammonium_mg_l,105397.0,0.44613204645072435,0.0,0.114749998,0.261750013,0.447750002,11.99775028,0.8382319339292937,0,0.0
hour,105397.0,11.500972513449149,0.0,6.0,12.0,18.0,23.0,6.9219289648957805,0,0.0
day_of_week,105397.0,2.996935396643168,0.0,1.0,3.0,5.0,6.0,1.9950696614241676,0,0.0
month,105397.0,6.5141038169966885,1.0,4.0,7.0,10.0,12.0,3.451254384209548,0,0.0
is_weekend,105397.0,0.2840688065125193,0.0,0.0,0.0,1.0,1.0,0.4509718941287681,0,0.0
do_avg_mg_l,105397.0,2.485523987675339,0.2553000032,1.9979999956,2.4941999912,2.9118000506,8.968050240999998,0.6561551470241778,0,0.0
airflow_basin1_total_scfm,105363.0,1573.9571772659322,117.35080716,1355.9695357,1655.5099788,1942.05260435,4509.197754299999,596.7209844912118,34,0.032
airflow_basin2_total_scfm,105363.0,2093.944948940208,80.603836056,1718.83795915,2077.4116519,2370.5525285000003,5204.699921099999,609.3432788034078,34,0.032
airflow_basin3_total_scfm,105397.0,1684.1619967034576,86.03105926100001,1391.0905300999998,1681.1234897000002,1936.7967837899998,4460.1871034,431.3160036605457,0,0.0
airflow_basin4_total_scfm,105363.0,1182.639778928782,75.61562347099999,144.84026337,1438.02857193,1730.3380662250001,3940.9047238999997,760.8876470724229,34,0.032
airflow_basin5_total_scfm,105397.0,1916.726449837824,88.057258601,1601.7840118000001,1894.5004579000001,2199.3024899,4113.1333003,436.36715102595576,0,0.0
airflow_basin6_total_scfm,105153.0,650.1625252753074,82.25510406,123.00265502,128.93862916,830.9317627,4819.973144,973.0338634528155,244,0.232
nh4_removal_efficiency,105206.0,98.3510212992752,-209.2744052513464,99.4056679958005,99.96084311396811,99.9896608908426,100.0,5.017057241281269,191,0.181
effluent_ammonium_mg_l_delta,105342.0,5.310675701291884e-07,-5.806500144,0.0,0.0,0.0,6.714749931999999,0.0841137010333239,55,0.052
effluent_ammonium_mg_l_rolling_mean_1h,105342.0,0.5362572844231285,0.0,0.0045,0.018750001,0.2117500011875,12.0,1.4823344010734782,55,0.052
effluent_ammonium_mg_l_rolling_std_1h,105342.0,0.03853011378534108,0.0,0.0,0.0,0.015675414922997472,3.039275160134194,0.12851159646651453,55,0.052
do_avg_mg_l_delta,105396.0,-3.205055176667079e-06,-3.731550359399998,-0.029549980399999676,0.0,0.03014998439999994,6.620700263599999,0.10701078594133065,1,0.001
do_avg_mg_l_rolling_mean_1h,105392.0,2.485545616008755,0.2688000038333333,1.9979999956,2.4936937391833336,2.9117406165000004,6.371674992266667,0.6456657794262103,5,0.005
do_avg_mg_l_rolling_std_1h,105392.0,0.06275293301863273,0.0,0.03326207402300754,0.04425120049751399,0.06029648036620773,2.3811324180079794,0.10474025427073463,5,0.005
effluent_ph_delta,105158.0,-1.8328098353557457e-05,-1.75459384975,-0.0017499929999997832,0.0,0.0034999849999994836,2.8384995459999995,0.023343033696251306,239,0.227
effluent_ph_rolling_mean_1h,105176.0,6.387928313164439,4.003575189028572,6.2931460538333335,6.379916508916667,6.491114417604166,9.9544649421875,0.25686739501542943,221,0.21
effluent_ph_rolling_std_1h,105176.0,0.009412753345969001,0.0,0.0031066752165664468,0.005025893257365119,0.008341370794158066,1.970470872632831,0.03553495947201963,221,0.21
effluent_ss_delta,105361.0,-0.0008988221246223977,-3588.125,-33.4375,0.3125,35.625,3618.75,95.59233415221061,36,0.034
effluent_ss_rolling_mean_1h,105359.0,3589.018163749286,1853.984375,3324.1015625,3613.515625,3825.5729166666665,4996.223958333333,375.2302796060811,38,0.036
effluent_ss_rolling_std_1h,105359.0,53.18592667713084,0.0,30.555849910819084,42.53886195312077,60.80644354518167,1645.4832793248765,58.76631629929813,38,0.036
